Sample,Ad-GFP¢Ù,Ad-GFP¢Ú,Ad-GFP¢Û,Ad-GFP¢Ü,Ad-GFP¢İ,Ad-GFP¢Ş,QC_1,QC_2,QC_3,QC_11,QC_18,Ad-IGF2¢Ù,Ad-IGF2¢Ú,Ad-IGF2¢Û,Ad-IGF2¢Ü,Ad-IGF2¢İ,Ad-IGF2¢Ş
Lable,Ad-GFP¢Ù,Ad-GFP¢Ú,Ad-GFP¢Û,Ad-GFP¢Ü,Ad-GFP¢İ,Ad-GFP¢Ş,QC,QC,QC,QC,QC,Ad-IGF2¢Ù,Ad-IGF2¢Ú,Ad-IGF2¢Û,Ad-IGF2¢Ü,Ad-IGF2¢İ,Ad-IGF2¢Ş
neg-M1044T328,841627.9957,1280977.834,1597635.777,1046514.317,890125.4376,1175945.074,1247684.712,1141749.709,1171186.899,1151512.371,962985.1763,1393955.338,1216003.734,915057.2508,1358097.476,582814.3905,1353011.843
neg-M1045T328,515770.429,674290.4464,902733.6541,529953.7088,482867.3377,632916.1586,695620.0647,700322.8269,727407.7081,645871.0979,507734.2015,893028.4478,729346.3779,691261.8441,722914.6224,341140.1711,840534.7185
neg-M104T48_1,508298.8164,354463.5813,626903.2397,540284.036,383510.6174,374917.6305,518423.8668,607406.9237,553126.3747,489331.9875,428023.2593,458562.5483,390136.8142,504226.5369,477653.2908,480866.8245,515446.3522
neg-M104T48_2,4550602.446,4737861.243,5149177.062,3414650.51,3482681.751,4110756.282,4323277.823,4764876.441,4061855.44,4809988.604,5436105.328,3725613.165,6465143.09,4469090.433,4107031.738,4140762.736,4719063.097
neg-M104T72_2,1012753.809,1603136.718,1496180.017,5407974.732,6282914.978,3825508.907,4221821.731,4155956.168,2927938.139,4462431.596,3123333.379,7296994.887,5032585.517,3217302.91,4970470.515,4133631.057,3313057.003
neg-M104T95,513497.1139,843804.105,699589.0581,1265873.084,1368332.162,980933.8009,1100423.345,979630.0167,965042.5217,1055422.273,1572046.196,1630718.978,1123588.633,715257.7156,1202419.084,1302688.838,1177193.942
neg-M1050T355,14871138.2,17554134.11,18171143.4,14617796.13,13692068.2,14551211.25,18720614.32,17620410.36,18012044.19,17447872.79,14507873.17,24955023.11,18096692.9,18380009.48,20840737.51,15664650.45,17138768.72
neg-M105T226,736419.4984,719483.2903,681849.2594,729258.0562,773169.8409,786301.256,2009860.065,1954613.16,2082678.379,2283211.034,2045815.707,1956785.365,3125592.146,2999999.194,3108505.846,3324076.137,2776081.713
neg-M105T48,794317.7615,786401.2275,914966.2878,988894.9504,1568520.543,1161499.325,726846.8162,737733.5955,796482.1952,959599.153,1048898.911,1831668.954,757502.6312,785577.2598,2291665.433,705885.4345,1634672.049
neg-M105T49,1158489.152,1903606.593,1213282.49,1904166.718,1374859.843,1714193.864,1807673.459,1333085.353,1412345.269,1407244.828,1598098.296,1582986.425,1193604.705,1320355.145,1507779.521,1982414.644,1536134.847
neg-M105T6,3134403.681,1111028.711,2247587.194,1722170.8,2076623.789,1933538.642,685706.1311,1133814.099,1093480.163,1228101.833,2034057.39,1765532.857,1288391.463,1251592.36,2374974.756,1215134.138,1921184.334
neg-M105T72,136923.9933,192601.8114,192608.594,817167.8697,852040.3384,165982.1721,568166.7197,603167.7693,412414.3485,643339.9925,446210.4583,1057005.381,731715.8812,441209.3072,833627.1694,752272.1561,649672.8011
neg-M106T239,663478.4521,571180.9438,430488.3577,558125.0407,527310.0242,608181.2417,492506.7778,507540.9809,575006.0727,503213.515,714365.2736,564912.1567,464795.0487,533363.995,723489.0097,850429.5683,772042.3454
neg-M106T320,2750229.609,1569945.183,1520256.368,3108371.24,2530058.667,1353989.425,2249824.014,2345396.486,2272892.299,2160737.144,1068390.58,2347911.391,2458129.04,2404351.463,2481427.361,5016586.503,2517611.376
neg-M106T365,1929078.303,1028162.479,1094678.713,868695.567,1106274.188,929706.185,1273681.324,2588974.153,1150454.44,1078344.933,1115914.566,232209.5744,1170486.703,1235033.194,1979722.201,1851865.819,1074626.904
neg-M106T392,3260050.504,2670972.469,1171424.814,3803899.418,2157963.331,2067045.792,1714348.976,407086.1793,1614293.977,1854596.792,2329722.073,2448105.704,2464042.192,2432492.617,1968169.567,3136523.896,2169260.272
neg-M106T454,2767440.007,2458605.857,2329294.715,2650119.06,2447887.39,2746580.128,2410052.851,1808127.755,2445958.076,1741199.887,2653965.446,2186598.793,2209765.304,2704473.954,3162788.684,3997643.999,4608493.786
neg-M106T476,3929583.661,4749343.457,2458654.124,1826761.139,6322015.38,6084422.959,8275537.441,6087475.214,9640020.091,5713702.668,15364197.87,7740610.419,3325917.476,5512463.037,3638757.347,2533832.962,3478974.276
neg-M106T48,68571.75924,167401.0398,67116.22261,121610.564,82917.08577,100051.1424,96710.59944,97962.29324,173088.7348,133866.5973,68077.41542,107627.4333,82256.83782,17200.23914,84397.01115,44111.43508,92848.23695
neg-M106T510,1806820.044,1719568.4,1406866.071,3471783.535,2548452.856,3944460.674,3592542.688,1734588.149,2525388.694,2221256.418,3535159.731,2147917.663,2246346.801,2448596.605,2255123.451,10320608.05,2595883.821
neg-M106T548,6806697.578,6073310.372,6954489.12,7744788.432,16884572.58,11505156.03,6076716.225,4972997.909,6528980.122,8272285.994,10267756.6,13723354.67,14410198.87,7248252.158,7595230.841,8304791.148,8695636.902
neg-M106T6,443822.0772,373761.283,175255.0706,207716.3125,338037.9367,378436.464,153392.1697,266493.1852,161733.0432,208761.0729,415234.8904,210333.2214,212480.3187,246730.3936,226090.1092,390198.3211,408030.6317
neg-M107T221,2714660.499,2140237.177,2712586.412,5381518.853,3621174.993,3258664.285,2354523.711,2484896.835,2703819.604,3232991.848,3424923.363,2766753.968,6530526.663,4140266.61,2002896.698,4348091.871,2790199.679
neg-M107T272,527575.2441,584912.5782,1014421.214,632326.4413,581571.2229,477813.7369,459909.0143,460435.7691,568459.3537,587260.5128,605618.002,566842.2192,568107.0289,727095.6962,424040.6665,467244.8829,960349.4655
